rep,subj_n,b3,parameter,Estimate,Est.Error,Q2.5,Q97.5
21,500,0.2,mat3v1,0.24575937275,0.019220253312291557,0.20858164999999998,0.2837611
22,500,0.2,Intercept,-0.0575893371282,0.04638047701469155,-0.14467675,0.04908796750000003
22,500,0.2,agentd,0.1854600419325,0.0396184179600494,0.10694325,0.26245270000000004
22,500,0.2,mat2v1,-0.34462567325,0.03196362834176804,-0.4064273,-0.2833463
22,500,0.2,mat3v1,0.2164498595,0.019208556728972696,0.178904225,0.25422914999999996
23,500,0.2,Intercept,-0.0616321074005,0.06651865138230847,-0.18244957499999997,0.08257892250000007
23,500,0.2,agentd,0.17665162835,0.04088061452593069,0.0934472625,0.25651860000000004
23,500,0.2,mat2v1,-0.331908583,0.028771381039478114,-0.387123575,-0.27544342499999996
23,500,0.2,mat3v1,0.2132975705,0.018415479857503723,0.17808655,0.248548775
24,500,0.2,Intercept,-0.00906160824223,0.057198587187939263,-0.12276709999999999,0.10810672500000001
24,500,0.2,agentd,0.162986931425,0.0398386872309034,0.085411835,0.24110385
24,500,0.2,mat2v1,-0.37799532725,0.03261054354538941,-0.441618175,-0.314871375
24,500,0.2,mat3v1,0.178604006,0.018375958012908797,0.1425077,0.21491205
25,500,0.2,Intercept,0.0172882366782325,0.03872434623487064,-0.0634728925,0.09565090500000005
25,500,0.2,agentd,0.16668236035,0.039142851228841695,0.0874552,0.24288985000000002
25,500,0.2,mat2v1,-0.351934684,0.03202536592748538,-0.41531975,-0.28865175
25,500,0.2,mat3v1,0.19851396,0.018444725376010593,0.16294519999999998,0.23482887500000002
26,500,0.2,Intercept,-0.006194731766475,0.06494315809335337,-0.13789724999999997,0.125878075
26,500,0.2,agentd,0.210513503375,0.03985000834161711,0.1340122,0.28970555000000003
26,500,0.2,mat2v1,-0.38574402025,0.033294703772885126,-0.4513644,-0.32078107499999997
26,500,0.2,mat3v1,0.19243122775,0.018988449087420655,0.155489875,0.22952095
27,500,0.2,Intercept,-0.017456721543975,0.065825732255267,-0.1418699,0.11388355000000001
27,500,0.2,agentd,0.167562289175,0.039233902294488164,0.09028182250000001,0.245206575
27,500,0.2,mat2v1,-0.383081136,0.03188483913106835,-0.444828575,-0.3192808
27,500,0.2,mat3v1,0.19813209725,0.020538556936967496,0.157526175,0.23928265
28,500,0.2,Intercept,0.030606445849858,0.04050727055759838,-0.04962414,0.11249705
28,500,0.2,agentd,0.17819711205,0.041006942203308284,0.09604360500000002,0.25423622500000004
28,500,0.2,mat2v1,-0.35208229525,0.03248447895089677,-0.415332875,-0.28879147499999996
28,500,0.2,mat3v1,0.18947407975,0.019810960812829643,0.150222725,0.22817439999999997
29,500,0.2,Intercept,-0.06985048959825,0.04896040358266725,-0.1552925,0.04315713000000001
29,500,0.2,agentd,0.169839361275,0.03730019389100698,0.097215145,0.24150834999999998
29,500,0.2,mat2v1,-0.410902452,0.031224494535499615,-0.47172539999999996,-0.349579825
29,500,0.2,mat3v1,0.20352030125,0.01955612027071088,0.16605260000000002,0.2419091
30,500,0.2,Intercept,-0.0684142959837,0.060995952265300815,-0.1782136,0.0603409925
30,500,0.2,agentd,0.1798410042,0.03914557674672639,0.103853525,0.256476325
30,500,0.2,mat2v1,-0.382077792,0.03136602600159955,-0.445561175,-0.32171000000000005
30,500,0.2,mat3v1,0.192859662,0.018716168622910947,0.15547982500000002,0.229007125
31,500,0.2,Intercept,0.07025718510225,0.03633045244908536,-0.011754537499999999,0.13758097500000002
31,500,0.2,agentd,0.20979294385,0.04051990304168088,0.128154525,0.28665837499999997
31,500,0.2,mat2v1,-0.3063326745,0.03195129649441425,-0.369440375,-0.2432285
31,500,0.2,mat3v1,0.19705074825,0.019867457370848125,0.159032375,0.23590802500000002
32,500,0.2,Intercept,0.019106015013325,0.06251526654933783,-0.11368057499999999,0.14020015
32,500,0.2,agentd,0.20142002325,0.04286162346355475,0.11654255000000001,0.28460412500000004
32,500,0.2,mat2v1,-0.380114758,0.030991018944506173,-0.4414364,-0.318640725
32,500,0.2,mat3v1,0.21529283,0.018705002668318586,0.178236275,0.2508825
33,500,0.2,Intercept,0.0283478651506325,0.06952365794818789,-0.1141656,0.15815625000000005
33,500,0.2,agentd,0.134936069155,0.03913228149520029,0.05812265,0.21188250000000003
33,500,0.2,mat2v1,-0.32581366425,0.03057985131962228,-0.38591235,-0.26498499999999997
33,500,0.2,mat3v1,0.2324822195,0.019749903266284032,0.193429075,0.27120465
34,500,0.2,Intercept,-0.004380919849385,0.06334708338388202,-0.13237402499999998,0.12537420000000002
34,500,0.2,agentd,0.140614014204,0.04070220318420963,0.06349801499999999,0.21980195
34,500,0.2,mat2v1,-0.36464368125,0.03193391346855256,-0.427835,-0.30377495000000004
34,500,0.2,mat3v1,0.2175228665,0.01948575385325097,0.1786663,0.255028125
35,500,0.2,Intercept,0.0221494841935,0.0517093491899013,-0.0814888,0.121870075
35,500,0.2,agentd,0.17813331285,0.03967968140794056,0.0981604325,0.255369525
35,500,0.2,mat2v1,-0.370736268,0.03127277015984583,-0.43153732499999997,-0.3107253
35,500,0.2,mat3v1,0.205142057,0.020733822877053457,0.165013575,0.24647027500000002
36,500,0.2,Intercept,-0.0179461138362175,0.069824332872588,-0.1491525,0.12435627500000003
36,500,0.2,agentd,0.1574913054,0.03830140378676577,0.08201549250000001,0.23200020000000005
36,500,0.2,mat2v1,-0.3616041755,0.032858583692009016,-0.425909025,-0.29736505
36,500,0.2,mat3v1,0.20803998575,0.01834729075675957,0.1718552,0.24317060000000001
37,500,0.2,Intercept,-0.02151494294165,0.037287163161578124,-0.09386012,0.05625706000000003
37,500,0.2,agentd,0.1400586525775,0.03755123046678182,0.06902073249999999,0.212485225
37,500,0.2,mat2v1,-0.27428044025,0.03221252688964472,-0.337513875,-0.20986029999999997
37,500,0.2,mat3v1,0.2037983905,0.019105056504994288,0.16783192500000002,0.2423043
38,500,0.2,Intercept,-0.023462710846675,0.07400579279363552,-0.166509125,0.12707659999999998
38,500,0.2,agentd,0.115013786065,0.041265833914891255,0.0321265,0.192264775
38,500,0.2,mat2v1,-0.352285822,0.03065811765321422,-0.414320575,-0.292481975
38,500,0.2,mat3v1,0.17606725225,0.018763490010069005,0.13956449999999998,0.212309075
39,500,0.2,Intercept,-0.0808120109875,0.05705029195711246,-0.1837481,0.049061160000000034
39,500,0.2,agentd,0.184444701225,0.039920209615818825,0.10474985,0.2621566
39,500,0.2,mat2v1,-0.37687995225,0.03211231721126084,-0.439080225,-0.31182905
39,500,0.2,mat3v1,0.19299729825,0.019306497060458255,0.1555962,0.23048409999999997
40,500,0.2,Intercept,-0.0779026875478,0.06288316943963324,-0.19191144999999998,0.06162335000000003
40,500,0.2,agentd,0.228096987725,0.03848818771734327,0.148747075,0.30255740000000003
40,500,0.2,mat2v1,-0.40978460475,0.03235621401576343,-0.4722587,-0.345114325
40,500,0.2,mat3v1,0.165828270625,0.018814598102404774,0.1287578,0.20345915000000003
41,500,0.2,Intercept,0.031603684768575,0.06322372802490564,-0.0973421275,0.15169912500000007
41,500,0.2,agentd,0.15466425735,0.04050565410980104,0.076119705,0.23587585
41,500,0.2,mat2v1,-0.40059516025,0.03243063965106323,-0.46307905000000005,-0.3375936
41,500,0.2,mat3v1,0.188073886,0.01830127697895065,0.1529569,0.22449170000000002
42,500,0.2,Intercept,-0.067580531148,0.05963351917805216,-0.17773434999999999,0.059803370000000036
42,500,0.2,agentd,0.162611217075,0.03842812779882246,0.08768495750000001,0.23967332500000002
42,500,0.2,mat2v1,-0.3305392175,0.030789092621037087,-0.39077002499999997,-0.27015782499999996
42,500,0.2,mat3v1,0.19398754875,0.019030095682143623,0.15552145,0.2299958
43,500,0.2,Intercept,0.017995961231635,0.05102962314762825,-0.08738347249999999,0.11869442500000002
43,500,0.2,agentd,0.212516171975,0.038637937404103144,0.136644575,0.28694155
43,500,0.2,mat2v1,-0.3150390075,0.03176748787325476,-0.375095725,-0.25082027500000004
43,500,0.2,mat3v1,0.2280912695,0.019194623800027337,0.1910204,0.26568067500000003
44,500,0.2,Intercept,0.036288598220675,0.04470020566415689,-0.06442683749999999,0.12350615000000001
44,500,0.2,agentd,0.20262895495,0.04047702111847594,0.12248774999999999,0.28076222500000003
44,500,0.2,mat2v1,-0.38864863625,0.03202728245556135,-0.45214745000000006,-0.325848675
44,500,0.2,mat3v1,0.2218203365,0.02050482372381567,0.18121494999999999,0.26109112500000003
45,500,0.2,Intercept,-0.022237822192555,0.04404874728807856,-0.10731787500000001,0.07112554750000001
45,500,0.2,agentd,0.1464770755,0.037844993911483854,0.07121667,0.222314225
45,500,0.2,mat2v1,-0.383115309,0.03134293316571339,-0.445645925,-0.32195752499999997
45,500,0.2,mat3v1,0.16991595925,0.01842686636672426,0.133679425,0.20600435
46,500,0.2,Intercept,-0.051598292156925,0.040215572884607566,-0.125987525,0.043543535
46,500,0.2,agentd,0.186433320025,0.03850191396367963,0.110456475,0.2627041
46,500,0.2,mat2v1,-0.39550565075,0.0321178797664626,-0.45830590000000004,-0.332330525
46,500,0.2,mat3v1,0.20094368125,0.018591256629768654,0.16412687499999998,0.237377425
47,500,0.2,Intercept,-0.042750602545625,0.05744537342588626,-0.1539026,0.07421918750000002
47,500,0.2,agentd,0.15880247698,0.038207555164578674,0.083141195,0.23248405
47,500,0.2,mat2v1,-0.3878289625,0.0314292075565389,-0.450293275,-0.32773614999999995
47,500,0.2,mat3v1,0.1888262665,0.018864522387161083,0.15187725,0.22642600000000002
48,500,0.2,Intercept,-0.0075677180613,0.040518447360719516,-0.09058506250000001,0.07750684750000003
48,500,0.2,agentd,0.211163136675,0.03850047087814755,0.13154795,0.285903375
48,500,0.2,mat2v1,-0.387721008,0.03248001445994545,-0.45093215,-0.322097925
48,500,0.2,mat3v1,0.18522328875,0.019421307090799842,0.147599,0.22336207500000002
49,500,0.2,Intercept,0.06130688524315,0.07425486482740473,-0.0923595425,0.2017149750000001
49,500,0.2,agentd,0.24271713175,0.037570654385785406,0.16834339999999998,0.315730075
49,500,0.2,mat2v1,-0.3510392895,0.03239390373680698,-0.41279150000000003,-0.288362525
49,500,0.2,mat3v1,0.22038800875,0.019038555152118122,0.18308905,0.25674695000000003
50,500,0.2,Intercept,-0.05037419797555,0.05712143444347806,-0.16064604999999998,0.06962428000000002
50,500,0.2,agentd,0.19961797585,0.04023349901073058,0.11863145,0.277659125
50,500,0.2,mat2v1,-0.3338726735,0.03205698599300372,-0.3958245,-0.26854485
50,500,0.2,mat3v1,0.172843284875,0.018950302154611322,0.135003975,0.209747475
51,500,0.2,Intercept,0.077944165426125,0.05813314528886017,-0.0519884475,0.17746725000000002
51,500,0.2,agentd,0.1617723824575,0.039539712545522805,0.08349054750000001,0.2376859
51,500,0.2,mat2v1,-0.415904589,0.03133183096639112,-0.47877975,-0.35601425
51,500,0.2,mat3v1,0.1634169338,0.01844243700158189,0.1265369,0.199983425
52,500,0.2,Intercept,0.093055317670225,0.046179148917058536,-0.019649754999999998,0.17410322500000006
52,500,0.2,agentd,0.12630479223,0.037321992060135305,0.051556882500000005,0.20019817499999998
52,500,0.2,mat2v1,-0.36677854175,0.03254072285858593,-0.43206587500000004,-0.30424154999999997
52,500,0.2,mat3v1,0.152046035625,0.020292131665698356,0.11239009999999999,0.191289375
53,500,0.2,Intercept,-0.106941235690425,0.07504577834187996,-0.2390545,0.062023407500000016
53,500,0.2,agentd,0.17209471475,0.04063325712899134,0.094209065,0.250266475
53,500,0.2,mat2v1,-0.33556115225,0.03158619175605034,-0.396752525,-0.27278882499999996
53,500,0.2,mat3v1,0.183040112,0.01963850777794464,0.144994975,0.22232055
54,500,0.2,Intercept,0.0641406741265,0.03904049676801869,-0.02013003,0.13950897500000006
54,500,0.2,agentd,0.15113134719,0.039495633055935314,0.0741862475,0.22535095
54,500,0.2,mat2v1,-0.34464074,0.03319957981065877,-0.41206,-0.280073475
54,500,0.2,mat3v1,0.20806144,0.019326575002033528,0.17022225,0.24611637500000003
55,500,0.2,Intercept,-0.04347348353835,0.06402088322483118,-0.16430982500000002,0.09261545250000001
55,500,0.2,agentd,0.179495346375,0.03795619956482739,0.10629134999999999,0.25724522499999997
55,500,0.2,mat2v1,-0.34471132325,0.03183173841220968,-0.40614379999999994,-0.281778425
55,500,0.2,mat3v1,0.157541154625,0.019610592135446962,0.1181378,0.195344175
56,500,0.2,Intercept,0.009554112140925,0.07303395445430162,-0.13260195,0.15004302500000014
56,500,0.2,agentd,0.1034474066885,0.04034123128313191,0.0252338375,0.18132167500000004
56,500,0.2,mat2v1,-0.29566839275,0.03262581128178188,-0.35977844999999997,-0.23005237499999998
56,500,0.2,mat3v1,0.2329405475,0.01839098880551437,0.19692065,0.267907075
57,500,0.2,Intercept,-0.0234266165433,0.06778247964090918,-0.152346125,0.11617135
57,500,0.2,agentd,0.151110974025,0.03771114805298456,0.0761172875,0.22510425
57,500,0.2,mat2v1,-0.37639706975,0.032628309210996166,-0.44015620000000005,-0.31173354999999997
57,500,0.2,mat3v1,0.199003639,0.01829950886579641,0.16266440000000001,0.233813625
58,500,0.2,Intercept,-0.0108201483793225,0.046196666729447174,-0.0998145325,0.08571483500000003
58,500,0.2,agentd,0.162040573875,0.04006513387637027,0.0842188775,0.23962687500000002
58,500,0.2,mat2v1,-0.36954863925,0.032774425439690544,-0.43443842499999996,-0.305155825
58,500,0.2,mat3v1,0.20304769925,0.018311456302374695,0.1668829,0.23748795000000003
59,500,0.2,Intercept,-0.068245002492575,0.03877246133687209,-0.14148439999999998,0.020094352500000006
59,500,0.2,agentd,0.15729912478,0.040757571292036436,0.07809270000000001,0.2383018
59,500,0.2,mat2v1,-0.366273542,0.03329409926010345,-0.429046,-0.300708825
59,500,0.2,mat3v1,0.17301018575,0.018627141901351917,0.137001075,0.2116393
60,500,0.2,Intercept,-0.03124405859503,0.0495454469360606,-0.12187925,0.10166267500000005
60,500,0.2,agentd,0.19171833905,0.03891070228236175,0.11437702500000001,0.2683054
60,500,0.2,mat2v1,-0.34313496475,0.03204042970413184,-0.4057741,-0.279476
60,500,0.2,mat3v1,0.17041202125,0.0202368106478293,0.131053275,0.21110205
61,500,0.2,Intercept,-0.023455739013510248,0.0713433878389443,-0.15647234999999998,0.12172965000000006
61,500,0.2,agentd,0.1980163442,0.03935052022068439,0.12118570000000001,0.27495072500000006
61,500,0.2,mat2v1,-0.3265848255,0.031150959741920642,-0.38882705,-0.26585250000000005
61,500,0.2,mat3v1,0.1925160155,0.020077984959969784,0.15289325,0.23117050000000003
62,500,0.2,Intercept,0.0013345256931,0.038654341114246475,-0.0769560975,0.07962467000000001
62,500,0.2,agentd,0.14595435315,0.03838071605787519,0.07343385499999999,0.2227472
62,500,0.2,mat2v1,-0.32625514125,0.031890396444496344,-0.38763005,-0.26175215
62,500,0.2,mat3v1,0.1534747354,0.01910832178611762,0.11648442500000002,0.1909181
63,500,0.2,Intercept,-0.076047373724775,0.03910479940719273,-0.1472675,0.013038940000000023
63,500,0.2,agentd,0.1496007232,0.03800700922050002,0.0766611475,0.22315000000000004
63,500,0.2,mat2v1,-0.344449474,0.03171343671049894,-0.40543195000000004,-0.280063625
63,500,0.2,mat3v1,0.21453214425,0.018786991994169507,0.17760000000000004,0.25027757500000003
64,500,0.2,Intercept,0.1098646275713,0.072566862596408,-0.056363319999999995,0.23716497500000003
64,500,0.2,agentd,0.13526251466475,0.039278653573901645,0.0576685175,0.211533575
64,500,0.2,mat2v1,-0.34732413175,0.031837818939409096,-0.410203225,-0.285836375
64,500,0.2,mat3v1,0.20893368575,0.018528952129215202,0.171974625,0.24477929999999998
65,500,0.2,Intercept,0.09228371588025,0.07640350267646251,-0.071389365,0.23331305000000005
65,500,0.2,agentd,0.1755443349,0.038177127883948114,0.101489525,0.25279185000000004
65,500,0.2,mat2v1,-0.366277879,0.032788228105479156,-0.42969752499999997,-0.301104675
65,500,0.2,mat3v1,0.158941229475,0.018722393179091898,0.12255515,0.196412575
66,500,0.2,Intercept,-0.032636901531075,0.04184221528690683,-0.115254525,0.05794536750000001
66,500,0.2,agentd,0.165309984575,0.037949324423484726,0.09272873,0.24070167500000003
66,500,0.2,mat2v1,-0.32315340775,0.0311304790883317,-0.38279602500000004,-0.26185204999999995
66,500,0.2,mat3v1,0.20988475475,0.01949703129070911,0.171993475,0.24817422500000003
67,500,0.2,Intercept,0.006149066076875,0.05495089659829681,-0.10541484999999999,0.11949547500000003
67,500,0.2,agentd,0.159492858225,0.039381694575414225,0.08367602,0.235317825
67,500,0.2,mat2v1,-0.30534458575,0.03208093980856697,-0.3685493,-0.24277532500000001
67,500,0.2,mat3v1,0.255149137,0.018236715924205105,0.219200975,0.29084820000000006
68,500,0.2,Intercept,0.0308543289884,0.05371277072658653,-0.08290058750000001,0.13092110000000007
68,500,0.2,agentd,0.1715975924,0.038803459637374534,0.0955809525,0.2473443
68,500,0.2,mat2v1,-0.31789199675,0.030214889477437657,-0.37794932499999995,-0.25774652499999995
68,500,0.2,mat3v1,0.20393017125,0.01901908862464107,0.165985175,0.24149070000000003
69,500,0.2,Intercept,-0.030468315221075,0.05834673076198929,-0.13966779999999998,0.09072481
69,500,0.2,agentd,0.1657979357,0.04027662922104304,0.089776055,0.24762815000000002
69,500,0.2,mat2v1,-0.33904438025,0.03162803247064463,-0.40048337500000003,-0.27783605
69,500,0.2,mat3v1,0.22573810275,0.019365478351221675,0.188624775,0.265045225
70,500,0.2,Intercept,0.008659214243,0.06701555504361009,-0.12632915,0.139057425
70,500,0.2,agentd,0.11097482283075,0.03665579461987235,0.0389613175,0.18099642500000002
70,500,0.2,mat2v1,-0.403852687,0.03211197781806468,-0.46664125000000006,-0.3391015
70,500,0.2,mat3v1,0.20371431775,0.018827320383182192,0.166791825,0.2405322
71,500,0.2,Intercept,-0.07174738836065,0.04652506938027584,-0.15830445,0.03513995750000011
71,500,0.2,agentd,0.16856223,0.03922384401201417,0.09109676250000001,0.24286885000000002
71,500,0.2,mat2v1,-0.29887794025,0.03273432011643974,-0.36461645,-0.23633654999999998
71,500,0.2,mat3v1,0.21815270975,0.018370496700845187,0.181059275,0.25512937500000005
72,500,0.2,Intercept,0.055095943561075,0.04444169539900106,-0.0419997975,0.13811097500000002
72,500,0.2,agentd,0.1730402823,0.03983895069338893,0.0970499775,0.253252225
72,500,0.2,mat2v1,-0.3964857675,0.03187244610684364,-0.45667077500000003,-0.331654275
72,500,0.2,mat3v1,0.183928756,0.020995970625326873,0.143694825,0.22529725
73,500,0.2,Intercept,-0.0026844285536,0.07140680536027495,-0.13392845,0.14083407500000003
73,500,0.2,agentd,0.176788814425,0.03904223310679066,0.1003632,0.2532595
73,500,0.2,mat2v1,-0.4122950945,0.032775157216376694,-0.4758006000000001,-0.34957887499999996
73,500,0.2,mat3v1,0.177511091,0.018680606606947214,0.14099795,0.21399030000000002
74,500,0.2,Intercept,0.053012008998175,0.054680077090393076,-0.0646837425,0.15884764999999998
74,500,0.2,agentd,0.195081191875,0.039433678415477874,0.11755905,0.273806075
74,500,0.2,mat2v1,-0.38706629575,0.031968108130207486,-0.451007575,-0.32366465
74,500,0.2,mat3v1,0.1957794755,0.018910179513127432,0.15973767500000002,0.232683725
75,500,0.2,Intercept,-0.034931489669225,0.05785790169871596,-0.142898125,0.0884898825
75,500,0.2,agentd,0.16596305375,0.04196815085516201,0.0850074125,0.24864490000000003
75,500,0.2,mat2v1,-0.38504531225,0.0316425363391945,-0.44745605,-0.3219488
75,500,0.2,mat3v1,0.16590484465,0.018840820894086386,0.12852900000000003,0.20335545000000002
76,500,0.2,Intercept,-0.047970483929075,0.06295224286219962,-0.16453055,0.08308148250000001
76,500,0.2,agentd,0.175073656125,0.03872927662721535,0.1017715,0.252384325
76,500,0.2,mat2v1,-0.36690300075,0.031671878149837185,-0.42790357500000004,-0.3033948
76,500,0.2,mat3v1,0.2088410285,0.02015282641429755,0.1687157,0.24771649999999998
77,500,0.2,Intercept,0.001316510520175,0.05788922672682286,-0.11564169999999999,0.1171841
77,500,0.2,agentd,0.088260378466,0.03979725522008331,0.0061665795,0.16525200000000004
77,500,0.2,mat2v1,-0.4186517535,0.031806902670090405,-0.482004875,-0.35581925
