pid,task,mat1,mat2,mat3,pull
1,-0.5,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.5
1,-0.5,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,1.5
1,-0.5,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,2
1,0.5,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,7.5
1,0.5,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,4
1,0.5,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,5.5
2,-0.5,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0
2,-0.5,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,0
2,-0.5,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,0
2,0.5,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0
2,0.5,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,0
2,0.5,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,0
3,-0.5,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0
3,-0.5,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,2
3,-0.5,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,4
3,0.5,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0
3,0.5,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,0
3,0.5,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,4.5
4,-0.5,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,4
4,-0.5,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,2
4,-0.5,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,11
4,0.5,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,12
4,0.5,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,11
4,0.5,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,12
5,-0.5,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.5
5,-0.5,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,1
5,-0.5,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,1.5
5,0.5,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,3
5,0.5,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,5
5,0.5,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,2.5
6,-0.5,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,5.5
6,-0.5,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,6
